"","X","Year","Player","Pos","Age","Tm","G","GS","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PPG","APG","RPG","BPG","SPG","MPG","TOPG","PFPG","Salary.in.."
"110",24230,2017,"Spencer Dinwiddie","PG",23,"BRK",59,18,1334,12.7,0.581,0.334,0.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,1.9,0.9,2.8,0.101,-0.7,-0.2,-0.9,0.4,134,302,0.444,38,101,0.376,96,201,0.478,0.507,126,159,0.792,27,137,164,185,44,23,66,119,432,7.32203389830508,3.13559322033898,2.77966101694915,0.389830508474576,0.745762711864407,22.6101694915254,1.11864406779661,2.01694915254237,726672
"111",24231,2017,"Toney Douglas","PG",30,"MEM",24,0,394,10.6,0.451,0.359,0.248,3.7,14.3,8.9,22.2,2.4,1.2,13.9,17.4,0,0.5,0.5,0.06,-2.2,1,-1.2,0.1,43,117,0.368,7,42,0.167,36,75,0.48,0.397,24,29,0.828,13,48,61,56,18,5,21,50,117,4.875,2.33333333333333,2.54166666666667,0.208333333333333,0.75,16.4166666666667,0.875,2.08333333333333,603558
"112",24232,2017,"Goran Dragic","PG",30,"MIA",73,73,2459,19.7,0.575,0.257,0.335,2.7,9.9,6.3,29,1.8,0.4,14.1,27.1,5,2.6,7.5,0.147,3.4,-0.7,2.7,2.9,534,1124,0.475,117,289,0.405,417,835,0.499,0.527,298,377,0.79,61,217,278,423,89,13,212,199,1483,20.3150684931507,5.79452054794521,3.80821917808219,0.178082191780822,1.21917808219178,33.6849315068493,2.9041095890411,2.72602739726027,15890000
"113",24233,2017,"Andre Drummond","C",23,"DET",81,81,2409,20.9,0.518,0.008,0.39,15.1,36.3,25.3,5.9,2.6,3.1,12.5,22.4,1.4,5.3,6.7,0.133,-2.1,2.9,0.8,1.7,483,911,0.53,2,7,0.286,481,904,0.532,0.531,137,355,0.386,345,771,1116,89,124,89,152,237,1105,13.641975308642,1.09876543209877,13.7777777777778,1.09876543209877,1.53086419753086,29.7407407407407,1.87654320987654,2.92592592592593,22116750
"114",24234,2017,"Jared Dudley","PF",31,"PHO",64,7,1362,10.6,0.579,0.587,0.188,2.4,15.9,9,12.5,1.5,0.9,16.1,13.7,1.1,0.7,1.8,0.065,-0.1,-0.1,-0.2,0.6,157,346,0.454,77,203,0.379,80,143,0.559,0.565,43,65,0.662,31,194,225,121,42,16,72,154,434,6.78125,1.890625,3.515625,0.25,0.65625,21.28125,1.125,2.40625,10470000
"115",24237,2017,"Mike Dunleavy","SF",36,"ATL",30,0,475,11.9,0.597,0.592,0.2,3.1,12.5,7.9,9.5,0.9,0.9,9,14.3,0.7,0.5,1.2,0.12,-0.2,-0.8,-1,0.1,57,130,0.438,33,77,0.429,24,53,0.453,0.565,22,26,0.846,13,55,68,30,9,5,14,35,169,5.63333333333333,1,2.26666666666667,0.166666666666667,0.3,15.8333333333333,0.466666666666667,1.16666666666667,4837500
"116",24238,2017,"Kris Dunn","PG",22,"MIN",78,7,1333,8.1,0.432,0.233,0.188,2.1,12.6,7.3,19.4,3,2.3,20.8,14.2,-1.2,1.3,0.1,0.004,-3.7,1.5,-2.2,-0.1,118,313,0.377,21,73,0.288,97,240,0.404,0.411,36,59,0.61,24,142,166,188,78,36,89,178,293,3.75641025641026,2.41025641025641,2.12820512820513,0.461538461538462,1,17.0897435897436,1.14102564102564,2.28205128205128,3872520
"117",24239,2017,"Kevin Durant","SF",28,"GSW",62,62,2070,27.6,0.651,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,8,4,12,0.277,5.4,2.6,8,5.2,551,1026,0.537,117,312,0.375,434,714,0.608,0.594,336,384,0.875,39,474,513,300,66,99,138,117,1555,25.0806451612903,4.83870967741935,8.2741935483871,1.59677419354839,1.06451612903226,33.3870967741936,2.2258064516129,1.88709677419355,26540100
"118",24240,2017,"Jarell Eddie","SF",25,"PHO",5,0,62,9.7,0.523,0.842,0.474,1.7,10.8,6.1,0,0.8,0,4.2,16.2,0.1,0,0.1,0.054,-1.5,-5.9,-7.3,-0.1,6,19,0.316,4,16,0.25,2,3,0.667,0.421,8,9,0.889,1,6,7,0,1,0,1,1,24,4.8,0,1.4,0,0.2,12.4,0.2,0.2,102898
"119",24241,2017,"Henry Ellenson","PF",20,"DET",19,2,146,7.5,0.444,0.547,0.125,5.8,25.6,15.3,7.2,0.3,0.6,17.2,24.7,-0.4,0.2,-0.2,-0.071,-5.8,-2.4,-8.2,-0.2,23,64,0.359,10,35,0.286,13,29,0.448,0.438,4,8,0.5,8,33,41,7,1,1,14,6,60,3.15789473684211,0.368421052631579,2.15789473684211,0.0526315789473684,0.0526315789473684,7.68421052631579,0.736842105263158,0.315789473684211,1704120
"120",24242,2017,"Wayne Ellington","SG",29,"MIA",62,13,1500,12.6,0.565,0.71,0.077,1.3,8.6,4.9,7.1,1.2,0.2,5,17.9,2.1,1.2,3.3,0.105,1.8,-1.9,-0.2,0.7,231,555,0.416,149,394,0.378,82,161,0.509,0.55,37,43,0.86,18,115,133,70,35,4,30,70,648,10.4516129032258,1.12903225806452,2.14516129032258,0.0645161290322581,0.564516129032258,24.1935483870968,0.483870967741935,1.12903225806452,6e+06
"121",24243,2017,"Monta Ellis","SG",31,"IND",74,33,1998,10,0.514,0.242,0.23,1.1,10.3,5.7,17.2,2,1.2,18,16.8,-0.7,1.7,1.1,0.026,-2.5,0.2,-2.3,-0.2,247,557,0.443,43,135,0.319,204,422,0.483,0.482,93,128,0.727,19,185,204,236,79,27,135,149,630,8.51351351351351,3.18918918918919,2.75675675675676,0.364864864864865,1.06756756756757,27,1.82432432432432,2.01351351351351,10770000
"122",24244,2017,"Joel Embiid","C",22,"PHI",31,31,786,24.1,0.584,0.228,0.569,8.5,25.6,17,16,1.7,7.7,17.9,36,0.5,1.5,1.9,0.117,0,3.2,3.2,1,200,429,0.466,36,98,0.367,164,331,0.495,0.508,191,244,0.783,61,182,243,66,27,76,117,112,627,20.2258064516129,2.12903225806452,7.83870967741935,2.45161290322581,0.870967741935484,25.3548387096774,3.7741935483871,3.61290322580645,4826160
"123",24245,2017,"James Ennis","SF",26,"MEM",64,28,1501,10.6,0.581,0.427,0.343,5.1,14.9,9.9,6.5,1.6,1.2,13.8,13,1.4,1.7,3.2,0.101,-1,1,0,0.8,146,321,0.455,51,137,0.372,95,184,0.516,0.534,86,110,0.782,69,190,259,64,46,19,59,165,429,6.703125,1,4.046875,0.296875,0.71875,23.453125,0.921875,2.578125,2898000
"124",24248,2017,"Tyler Ennis","PG",22,"LAL",22,2,392,14.6,0.553,0.375,0.153,1.6,6.1,3.8,20.3,2.5,0.4,12,19,0.5,0.2,0.7,0.08,0.3,-2.6,-2.3,0,65,144,0.451,21,54,0.389,44,90,0.489,0.524,19,22,0.864,6,21,27,52,20,2,21,29,170,7.72727272727273,2.36363636363636,1.22727272727273,0.0909090909090909,0.909090909090909,17.8181818181818,0.954545454545455,1.31818181818182,1733880
"125",24251,2017,"Tyreke Evans","SF",27,"SAC",14,6,314,14.9,0.516,0.336,0.238,2.6,16,9.4,17.7,1.9,1.5,12.2,26,0,0.3,0.2,0.035,-1,-1.1,-2.2,0,59,143,0.413,21,48,0.438,38,95,0.4,0.486,24,34,0.706,7,44,51,33,12,5,22,19,163,11.6428571428571,2.35714285714286,3.64285714285714,0.357142857142857,0.857142857142857,22.4285714285714,1.57142857142857,1.35714285714286,10661286
"126",24252,2017,"Dante Exum","PG",21,"UTA",66,26,1228,8.6,0.521,0.41,0.201,2.9,9.3,6.2,14.2,0.9,0.8,16.8,18.1,-0.1,1.3,1.2,0.047,-2,-0.5,-2.5,-0.1,155,363,0.427,44,149,0.295,111,214,0.519,0.488,58,73,0.795,30,102,132,112,21,12,80,146,412,6.24242424242424,1.6969696969697,2,0.181818181818182,0.318181818181818,18.6060606060606,1.21212121212121,2.21212121212121,3940320
"127",24253,2017,"Kenneth Faried","PF",27,"DEN",61,34,1296,20.3,0.588,0.014,0.454,15.7,23.6,19.7,6.3,1.6,2.4,10.4,18.3,3.4,1.2,4.6,0.169,0.9,-0.1,0.8,0.9,228,416,0.548,0,6,0,228,410,0.556,0.548,131,189,0.693,182,279,461,55,43,40,58,124,587,9.62295081967213,0.901639344262295,7.55737704918033,0.655737704918033,0.704918032786885,21.2459016393443,0.950819672131147,2.0327868852459,12078652
"128",24255,2017,"Derrick Favors","PF",25,"UTA",50,39,1186,15.8,0.512,0.024,0.261,9.2,20.2,14.9,7.9,2,2.7,11.4,20.7,0.5,2.2,2.7,0.109,-2.4,2.3,-0.1,0.6,203,417,0.487,3,10,0.3,200,407,0.491,0.49,67,109,0.615,92,213,305,56,45,40,60,103,476,9.52,1.12,6.1,0.8,0.9,23.72,1.2,2.06,11050000
"129",24256,2017,"Kay Felder","PG",21,"CLE",42,0,386,11.2,0.462,0.139,0.31,0.9,10.5,5.9,22.7,2.3,1.5,14.7,24.3,-0.3,0.4,0,0.004,-4.9,-1.2,-6.1,-0.4,62,158,0.392,7,22,0.318,55,136,0.404,0.415,35,49,0.714,3,38,41,58,18,7,31,38,166,3.95238095238095,1.38095238095238,0.976190476190476,0.166666666666667,0.428571428571429,9.19047619047619,0.738095238095238,0.904761904761905,543471
